Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.10-8.8.8.8-52958-443-17,192.168.1.10,52958,8.8.8.8,443,17,5/7/2017 16:21:42,1426880,39,43,27456,34443,704,684,694,8.246865833429151,801,781,791,12.664816443709741,3829.0,93.41847698301139,17400.975609756097,5220.292682926829,34801.95121951219,1740.0975609756097,1426880,36586.666666666664,826.1549750407612,73173.33333333333,0,1426880,33183.25581395349,323.45092004845566,66366.51162790698,0,9,0,0,0,780,860,56.05108618980683,37.36739079320456,40,801,752.5,48.5,2352.25,1,1,0,9,25,0,0,0,1.1025641025641026,752.5,704,801,780,0,0,0,0,0,0,39,27456,43,34443,65535,65535,39,20,0,0,0,0,0,0,0,0,BENIGN
192.168.2.50-192.168.1.1-64528-80-6,192.168.2.50,64528,192.168.1.1,80,6,5/7/2017 10:26:31,4137927,18,30,10494,29130,583,563,573,5.704984578938406,971,951,961,13.931830072003251,680.0,17.29907501875116,86206.8125,25862.04375,172413.625,8620.68125,4137927,229884.83333333334,730.505317415466,459769.6666666667,0,4137927,137930.9,783.3615284842872,275861.8,0,7,0,0,0,360,600,10.379445011250697,6.919630007500465,40,971,777.0,194.0,37636.0,1,1,0,7,5,0,0,0,1.6666666666666667,777.0,583,971,360,0,0,0,0,0,0,18,10494,30,29130,65535,65535,18,20,0,0,0,0,0,0,0,0,BENIGN
192.168.1.10-8.8.8.8-18415-80-6,192.168.1.10,18415,8.8.8.8,80,6,5/7/2017 14:33:07,633163,35,33,37485,16269,1071,1051,1061,18.908312859402127,493,473,483,0.8673007379834341,3165.0,51.810557803309976,9311.220588235294,2793.366176470588,18622.441176470587,931.1220588235294,633163,18090.371428571427,783.2269959803796,36180.74285714285,0,633163,19186.757575757576,866.9809077598383,38373.51515151515,0,8,0,0,0,700,660,31.086334681985985,20.72422312132399,40,1071,782.0,289.0,83521.0,1,1,0,8,11,0,0,0,0.9428571428571428,782.0,1071,493,700,0,0,0,0,0,0,35,37485,33,16269,65535,65535,35,20,0,0,0,0,0,0,0,0,BENIGN
10.0.0.5-8.8.8.8-47873-21-6,10.0.0.5,47873,8.8.8.8,21,6,5/7/2017 10:58:12,11095,1,2,52,0,52,32,42,19.409852734535036,0,0,0,7.462897953992698,367.88063455685403,21.84160163339538,3698.3333333333335,1109.5,7396.666666666667,369.83333333333337,11095,11095.0,489.5511143491478,22190.0,0,11095,5547.5,641.0487218761597,11095.0,0,0,0,0,0,20,40,13.104960980037228,8.736640653358153,40,52,26.0,26.0,676.0,0,2,2,0,0,0,0,0,2.0,26.0,52,0,20,0,0,0,0,0,0,1,52,2,0,1024,1024,1,20,0,0,0,0,0,0,0,0,PortScan
192.168.1.10-8.8.8.8-26318-53-6,192.168.1.10,26318,8.8.8.8,53,6,5/7/2017 12:47:43,19460,1775,2,1672050,0,942,922,932,6.329813818421924,0,0,0,4.91396961629839,131835.2468040327,3087.8111423430223,10.951041080472708,3.2853123241418123,21.902082160945415,1.0951041080472708,19460,10.96338028169014,738.4656826448074,21.92676056338028,0,19460,9730.0,762.6202697400188,19460.0,0,88,0,0,0,35500,40,1852.6866854058133,1235.124456937209,40,942,471.0,471.0,221841.0,0,100,0,88,0,0,0,0,0.0011267605633802818,471.0,942,0,35500,0,0,0,0,0,0,1775,1672050,2,0,0,0,1775,20,0,0,0,0,0,0,0,0,DoS Hulk
192.168.2.50-10.0.0.1-9374-3306-17,192.168.2.50,9374,10.0.0.1,3306,17,5/7/2017 14:36:47,10440,3,0,150,0,50,30,40,15.425618047270751,0,0,0,15.950362783566439,299.1292939517311,13.54359539687884,3480.0,1044.0,6960.0,348.0,10440,3480.0,933.9251652104057,6960.0,0,10440,0.0,126.30736470037229,0.0,0,0,0,0,0,60,0,8.126157238127304,5.417438158751537,40,50,25.0,25.0,625.0,0,2,2,0,0,0,0,0,0.0,25.0,50,0,60,0,0,0,0,0,0,3,150,0,0,1024,1024,3,20,0,0,0,0,0,0,0,0,PortScan
172.16.0.3-192.168.1.1-46279-443-6,172.16.0.3,46279,192.168.1.1,443,6,5/7/2017 11:52:16,4097502,45,11,34965,13057,777,757,767,11.149829764939035,1187,1167,1177,16.200317629831257,3885.0,74.7147288257703,73169.67857142857,21950.903571428567,146339.35714285713,7316.967857142857,4097502,91055.6,344.1402764606127,182111.2,0,4097502,372500.1818181818,411.76090479819095,745000.3636363636,0,6,0,0,0,900,220,44.82883729546217,29.88589153030812,40,1187,982.0,205.0,42025.0,1,1,0,6,21,0,0,0,0.24444444444444444,982.0,777,1187,900,0,0,0,0,0,0,45,34965,11,13057,65535,65535,45,20,0,0,0,0,0,0,0,0,BENIGN
192.168.1.10-192.168.1.100-17733-22-17,192.168.1.10,17733,192.168.1.100,22,17,5/7/2017 10:25:29,849192,115,158,11500,16748,100,80,90,5.387993752264865,106,86,96,12.66239683282419,4730.8969767787985,22.891955511505817,3110.5934065934066,933.1780219780219,6221.186813186813,311.0593406593407,849192,7384.278260869565,645.5712258266465,14768.55652173913,0,849192,5374.632911392405,714.4449678968061,10749.26582278481,0,14,0,0,0,2300,3160,13.735173306903489,9.156782204602328,40,106,103.0,3.0,9.0,0,1,0,14,102,0,0,0,1.373913043478261,103.0,100,106,2300,0,0,0,0,0,0,115,11500,158,16748,8192,8192,115,20,0,0,0,0,0,0,0,0,BruteForce
192.168.2.50-172.16.0.1-3762-80-17,192.168.2.50,3762,172.16.0.1,80,17,5/7/2017 17:18:41,53878,1,0,52,0,52,32,42,19.98483737579255,0,0,0,16.848773454458556,467.4183398610893,26.698381694396076,53878.0,16163.4,107756.0,5387.8,53878,53878.0,212.7541347232398,107756.0,0,53878,0.0,840.6841941947372,0.0,0,0,0,0,0,20,0,16.019029016637646,10.67935267775843,40,52,26.0,26.0,676.0,0,3,2,0,0,0,0,0,0.0,26.0,52,0,20,0,0,0,0,0,0,1,52,0,0,1024,1024,1,20,0,0,0,0,0,0,0,0,PortScan
192.168.1.10-172.16.0.1-7702-3306-6,192.168.1.10,7702,172.16.0.1,3306,6,5/7/2017 09:00:03,1964688,13,17,16120,9690,1240,1220,1230,18.348571630231604,570,550,560,1.499743613868978,3481.0,37.85173463778377,65489.6,19646.879999999997,130979.2,6548.96,1964688,151129.84615384616,997.1614261304738,302259.6923076923,0,1964688,115569.88235294117,197.7503366954332,231139.76470588235,0,10,0,0,0,260,340,22.711040782670263,15.14069385511351,40,1240,905.0,335.0,112225.0,1,1,0,10,10,0,0,0,1.3076923076923077,905.0,1240,570,260,0,0,0,0,0,0,13,16120,17,9690,65535,65535,13,20,0,0,0,0,0,0,0,0,BENIGN
192.168.1.10-8.8.8.8-35866-21-6,192.168.1.10,35866,8.8.8.8,21,6,5/7/2017 11:33:42,2186775,41,45,10496,60615,256,236,246,11.531273179942868,1347,1327,1337,13.489851274895754,1665.0,56.28392452128411,25427.616279069767,7628.284883720929,50855.232558139534,2542.761627906977,2186775,53335.9756097561,702.5504161808069,106671.9512195122,0,2186775,48595.0,427.07499029356256,97190.0,0,7,0,0,0,820,900,33.77035471277047,22.513569808513648,40,1347,801.5,545.5,297570.25,1,1,0,7,40,0,0,0,1.0975609756097562,801.5,256,1347,820,0,0,0,0,0,0,41,10496,45,60615,65535,65535,41,20,0,0,0,0,0,0,0,0,BENIGN
192.168.1.10-172.16.0.1-47755-3306-6,192.168.1.10,47755,172.16.0.1,3306,6,5/7/2017 14:36:22,7031754,68,120,43996,310560,647,627,637,6.964601014339451,2588,2568,2578,5.382432843237332,27093.086239942408,14.75939128891545,37402.94680851064,11220.884042553193,74805.89361702128,3740.294680851064,7031754,103408.14705882352,911.5986451290479,206816.29411764705,0,7031754,58597.95,259.8590886483397,117195.9,0,7,0,0,0,1360,2400,8.85563477334927,5.90375651556618,40,2588,1617.5,970.5,941870.25,1,1,0,7,74,0,0,0,1.7647058823529411,1617.5,647,2588,1360,0,0,0,0,0,0,68,43996,120,310560,32768,32768,68,20,0,0,0,0,0,0,0,0,Infiltration
172.16.0.3-192.168.1.100-10052-80-17,172.16.0.3,10052,192.168.1.100,80,17,5/7/2017 09:57:39,1994884,57,55,12426,8085,218,198,208,11.772349478311783,147,127,137,4.542517723599893,467.926694839736,24.643617356666077,17811.464285714286,5343.439285714286,35622.92857142857,1781.1464285714287,1994884,34997.9649122807,747.4756892961938,69995.9298245614,0,1994884,36270.61818181818,888.3353382925319,72541.23636363636,0,12,0,0,0,1140,1100,14.786170413999645,9.857446942666432,40,218,182.5,35.5,1260.25,1,1,0,12,17,0,0,0,0.9649122807017544,182.5,218,147,1140,0,0,0,0,0,0,57,12426,55,8085,4096,4096,57,20,0,0,0,0,0,0,0,0,Bot
172.16.0.3-8.8.8.8-50633-22-17,172.16.0.3,50633,8.8.8.8,22,17,5/7/2017 12:44:28,11835,1812,7,730236,0,403,383,393,10.435585869614844,0,0,0,0.5188097389074464,142916.71774540195,3057.0403541538517,6.506322155030237,1.9518966465090708,13.012644310060473,0.6506322155030237,11835,6.531456953642384,880.1705939386123,13.062913907284768,0,11835,1690.7142857142858,563.5394332015829,3381.4285714285716,0,85,0,0,0,36240,140,1834.224212492311,1222.8161416615408,40,403,201.5,201.5,40602.25,0,59,0,85,0,0,0,0,0.003863134657836645,201.5,403,0,36240,0,0,0,0,0,0,1812,730236,7,0,0,0,1812,20,0,0,0,0,0,0,0,0,DoS Hulk
192.168.1.20-10.0.0.1-49985-21-6,192.168.1.20,49985,10.0.0.1,21,6,5/7/2017 13:56:55,1332420,78,98,9126,6076,117,97,107,3.2062500217862144,62,42,52,3.979838482793545,1782.048938282977,22.031229849972874,7570.568181818182,2271.1704545454545,15141.136363636364,757.0568181818182,1332420,17082.30769230769,479.29498523249356,34164.61538461538,0,1332420,13596.122448979591,665.2428953567795,27192.244897959183,0,31,0,0,0,1560,1960,13.218737909983725,8.81249193998915,40,117,89.5,27.5,756.25,0,1,0,31,157,0,0,0,1.2564102564102564,89.5,117,62,1560,0,0,0,0,0,0,78,9126,98,6076,8192,8192,78,20,0,0,0,0,0,0,0,0,BruteForce
192.168.2.50-8.8.8.8-39259-53-6,192.168.2.50,39259,8.8.8.8,53,6,5/7/2017 12:12:01,6478,4910,3,255320,0,52,32,42,9.809307205342918,0,0,0,12.063437492412003,354678.52467448264,9618.61328621501,1.3185426419702828,0.39556279259108484,2.6370852839405656,0.13185426419702828,6478,1.3193482688391038,511.55584263356144,2.6386965376782077,0,6478,2159.3333333333335,56.04761770700617,4318.666666666667,0,0,0,0,0,98200,60,5771.167971729005,3847.445314486004,40,52,26.0,26.0,676.0,0,362,6,0,0,0,0,0,0.0006109979633401223,26.0,52,0,98200,0,0,0,0,0,0,4910,255320,3,0,0,0,4910,20,0,0,0,0,0,0,0,0,DDoS
192.168.2.50-192.168.1.100-57296-8080-6,192.168.2.50,57296,192.168.1.100,8080,6,5/7/2017 09:27:44,262538,58,26,11658,8424,201,181,191,17.39498346625511,324,304,314,2.2732918022665283,1538.0847411296263,12.294190141538197,3125.4523809523807,937.6357142857141,6250.9047619047615,312.5452380952381,262538,4526.517241379311,885.502833308147,9053.034482758621,0,262538,10097.615384615385,495.18452711941364,20195.23076923077,0,10,0,0,0,1160,520,7.376514084922918,4.917676056615279,40,324,262.5,61.5,3782.25,1,1,0,10,25,0,0,0,0.4482758620689655,262.5,201,324,1160,0,0,0,0,0,0,58,11658,26,8424,4096,4096,58,20,0,0,0,0,0,0,0,0,Bot
192.168.1.10-8.8.8.8-20438-443-17,192.168.1.10,20438,8.8.8.8,443,17,5/7/2017 10:19:00,4580649,13,22,19084,6556,1468,1448,1458,12.75739310211855,298,278,288,15.055843515825076,572.0,97.45519817917105,130875.68571428572,39262.705714285716,261751.37142857144,13087.568571428572,4580649,352357.6153846154,102.58764678776066,704715.2307692308,0,4580649,208211.31818181818,12.265403375507965,416422.63636363635,0,5,0,0,0,260,440,58.473118907502624,38.982079271668425,40,1468,883.0,585.0,342225.0,1,1,0,5,40,0,0,0,1.6923076923076923,883.0,1468,298,260,0,0,0,0,0,0,13,19084,22,6556,65535,65535,13,20,0,0,0,0,0,0,0,0,BENIGN
192.168.2.50-8.8.8.8-29473-8080-17,192.168.2.50,29473,8.8.8.8,8080,17,5/7/2017 09:02:32,99586,4,2,224,0,56,36,46,12.591191626671758,0,0,0,10.493555677528693,119.87280404067931,35.88064411367175,16597.666666666668,4979.3,33195.333333333336,1659.7666666666669,99586,24896.5,290.70302447839947,49793.0,0,99586,49793.0,437.3555189310246,99586.0,0,0,0,0,0,80,40,21.52838646820305,14.3522576454687,40,56,28.0,28.0,784.0,0,1,2,0,0,0,0,0,0.5,28.0,56,0,80,0,0,0,0,0,0,4,224,2,0,1024,1024,4,20,0,0,0,0,0,0,0,0,PortScan
10.0.0.5-8.8.8.8-44640-53-6,10.0.0.5,44640,8.8.8.8,53,6,5/7/2017 14:19:46,2570589,13,16,1378,6592,106,86,96,12.047773349019424,412,392,402,18.42076432836159,214.0,94.93002231790749,88641.0,26592.3,177282.0,8864.1,2570589,197737.61538461538,967.5316856159355,395475.23076923075,0,2570589,160661.8125,220.89525043701207,321323.625,0,10,0,0,0,260,320,56.95801339074449,37.972008927162996,40,412,259.0,153.0,23409.0,1,1,0,10,30,0,0,0,1.2307692307692308,259.0,106,412,260,0,0,0,0,0,0,13,1378,16,6592,65535,65535,13,20,0,0,0,0,0,0,0,0,BENIGN
192.168.2.50-172.16.0.1-1238-80-6,192.168.2.50,1238,172.16.0.1,80,6,5/7/2017 12:59:31,8629616,90,697,42480,639149,472,452,462,19.63155275996138,917,897,907,12.562254515543081,41952.12079189065,10.711249767106914,10965.204574332909,3289.561372299873,21930.409148665818,1096.5204574332909,8629616,95884.62222222223,489.5595952516181,191769.24444444446,0,8629616,12381.084648493545,108.07917622006048,24762.16929698709,0,11,0,0,0,1800,13940,6.426749860264148,4.284499906842766,40,917,694.5,222.5,49506.25,1,1,0,11,73,0,0,0,7.7444444444444445,694.5,472,917,1800,0,0,0,0,0,0,90,42480,697,639149,32768,32768,90,20,0,0,0,0,0,0,0,0,Infiltration
192.168.1.10-10.0.0.1-61844-53-6,192.168.1.10,61844,10.0.0.1,53,6,5/7/2017 12:50:43,2627912,43,10,36507,13930,849,829,839,0.6163830271344883,1393,1373,1383,3.1264694829982154,2506.0,76.76214986102579,49583.24528301887,14874.97358490566,99166.49056603774,4958.324528301888,2627912,61114.232558139534,219.8657254605103,122228.46511627907,0,2627912,262791.2,746.753911606912,525582.4,0,7,0,0,0,860,200,46.057289916615474,30.704859944410316,40,1393,1121.0,272.0,73984.0,1,1,0,7,33,0,0,0,0.23255813953488372,1121.0,849,1393,860,0,0,0,0,0,0,43,36507,10,13930,65535,65535,43,20,0,0,0,0,0,0,0,0,BENIGN
172.16.0.3-192.168.1.100-25551-21-17,172.16.0.3,25551,192.168.1.100,21,17,5/7/2017 10:20:45,108010,5,2,290,0,58,38,48,8.018921410755155,0,0,0,18.42370447376735,246.81555711230956,48.008835146320166,15430.0,4629.0,30860.0,1543.0,108010,21602.0,583.9826215038989,43204.0,0,108010,54005.0,36.60448794960669,108010.0,0,0,0,0,0,100,40,28.8053010877921,19.203534058528067,40,58,29.0,29.0,841.0,0,2,2,0,0,0,0,0,0.4,29.0,58,0,100,0,0,0,0,0,0,5,290,2,0,1024,1024,5,20,0,0,0,0,0,0,0,0,PortScan
172.16.0.3-8.8.8.8-40706-80-6,172.16.0.3,40706,8.8.8.8,80,6,5/7/2017 15:57:39,427462,39,37,44616,1554,1144,1124,1134,17.93937905695063,42,22,32,15.497408461356066,1162.0,10.225806614323348,5624.5,1687.35,11249.0,562.45,427462,10960.564102564103,649.2317351065338,21921.128205128207,0,427462,11553.027027027027,522.0442296615541,23106.054054054053,0,10,0,0,0,780,740,6.135483968594008,4.09032264572934,40,1144,593.0,551.0,303601.0,1,1,0,10,13,0,0,0,0.9487179487179487,593.0,1144,42,780,0,0,0,0,0,0,39,44616,37,1554,65535,65535,39,20,0,0,0,0,0,0,0,0,BENIGN
10.0.0.5-8.8.8.8-20918-80-6,10.0.0.5,20918,8.8.8.8,80,6,5/7/2017 16:52:48,1243371,27,23,17631,1334,653,633,643,15.317384068732753,58,38,48,15.959295525092275,4043.0,53.9747899161532,24867.42,7460.225999999999,49734.84,2486.742,1243371,46050.77777777778,597.0037522257521,92101.55555555556,0,1243371,54059.608695652176,796.7673838676361,108119.21739130435,0,8,0,0,0,540,460,32.384873949691915,21.58991596646128,40,653,355.5,297.5,88506.25,1,1,0,8,36,0,0,0,0.8518518518518519,355.5,653,58,540,0,0,0,0,0,0,27,17631,23,1334,65535,65535,27,20,0,0,0,0,0,0,0,0,BENIGN
192.168.1.20-8.8.8.8-51325-21-17,192.168.1.20,51325,8.8.8.8,21,17,5/7/2017 13:31:27,2518670,155,135,13330,12825,86,66,76,9.942045888118034,95,75,85,10.675412936896294,1121.995747906224,94.96272406619697,8685.068965517241,2605.520689655172,17370.137931034482,868.5068965517241,2518670,16249.483870967742,532.4744324103933,32498.967741935485,0,2518670,18656.814814814814,821.4041980364509,37313.62962962963,0,34,0,0,0,3100,2700,56.97763443971818,37.98508962647879,40,95,90.5,4.5,20.25,0,1,0,34,112,0,0,0,0.8709677419354839,90.5,86,95,3100,0,0,0,0,0,0,155,13330,135,12825,8192,8192,155,20,0,0,0,0,0,0,0,0,BruteForce
192.168.2.50-192.168.1.100-4024-3306-6,192.168.2.50,4024,192.168.1.100,3306,6,5/7/2017 11:52:03,260666,17,26,6936,11310,408,388,398,17.80849400821989,435,415,425,19.96177618092488,933.2561771804661,17.716818988080128,6062.0,1818.6,12124.0,606.2,260666,15333.29411764706,129.71624438556907,30666.58823529412,0,260666,10025.615384615385,397.81865089164194,20051.23076923077,0,16,0,0,0,340,520,10.630091392848076,7.086727595232052,40,435,421.5,13.5,182.25,1,1,0,16,50,0,0,0,1.5294117647058822,421.5,408,435,340,0,0,0,0,0,0,17,6936,26,11310,4096,4096,17,20,0,0,0,0,0,0,0,0,Bot
